STATE,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,st_case_year,idno
24,240078,0,1,5,21,1,0,0,0,311,0,3,7,3,7,8,7,8,8,8,8,310,0,240078_2014,4841
24,240081,0,1,5,39,1,1,9,0,313,0,1,7,1,7,9,7,1,3,2,4c,600,0,240081_2014,4842
24,240083,0,1,5,71,1,0,0,0,799,0,1,7,1,7,1,7,3,1,2,11b,790,0,240083_2014,4843
24,240089,0,1,5,66,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240089_2014,4844
24,240091,0,1,5,19,1,1,1,0,760,0,1,7,1,7,2,7,1,3,2,4a,750,0,240091_2014,4845
24,240101,0,1,5,34,2,1,1,0,741,0,1,7,1,7,1,7,4,3,1,2a,740,0,240101_2014,4846
24,240106,0,1,5,32,1,0,1,0,742,0,1,7,1,7,2,7,1,3,2,4a,740,0,240106_2014,4847
24,240107,0,1,5,42,1,0,0,0,213,0,3,7,3,7,8,7,8,8,8,8,200,0,240107_2014,4848
24,240112,0,1,5,24,2,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,240112_2014,4849
24,240119,0,1,5,24,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,240119_2014,4850
24,240119,0,2,5,25,2,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0,240119_2014,4851
24,240127,0,1,5,38,1,1,1,0,760,0,1,7,2,7,3,7,4,3,2,3b,750,0,240127_2014,4852
24,240128,0,1,5,57,2,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,240128_2014,4853
24,240136,0,1,6,76,1,0,0,0,0,139,7,3,77,2,7,2,7,7,7,7,0,110,240136_2014,4854
24,240141,0,1,5,18,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240141_2014,4855
24,240142,0,1,5,59,1,0,0,0,680,0,3,7,3,7,8,7,8,8,8,8,990,0,240142_2014,4856
24,240158,0,1,5,31,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240158_2014,4857
24,240161,0,1,5,30,1,9,9,9,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240161_2014,4858
24,240162,0,1,5,50,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240162_2014,4859
24,240168,0,1,5,35,1,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240168_2014,4860
24,240182,0,1,5,21,2,0,1,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,240182_2014,4861
24,240185,0,1,5,27,1,0,1,0,341,0,3,7,3,7,8,7,8,8,8,8,340,0,240185_2014,4862
24,240186,0,1,5,63,1,0,0,0,313,0,3,7,3,7,8,7,8,8,8,8,600,0,240186_2014,4863
